 x                y
0.000000        1.000000
0.100000        0.994904
0.200000        0.978446
0.300000        0.947010
0.400000        0.894270
0.500000        0.810963
0.600000        0.685140
0.700000        0.503631
0.800000        0.255917
0.900000        -0.058171
1.000000        -0.416147
1.100000        0.802519
1.200000        0.618783
1.300000        0.458406
1.400000        0.326280
1.500000        0.223130
1.600000        0.146607
1.700000        0.092551
1.800000        0.056135
1.900000        0.032712
2.000000        0.032712
